N,P,K,temperature,humidity,ph,rainfall,label
97.7,59.1,87.5,23.78,81.81,6.98,113.93,Sugarcane
82.1,63.7,99.0,32.0,82.26,7.11,124.41,Sugarcane
55.6,57.5,59.3,23.4,70.0,6.39,50.59,Tomato
34.1,27.3,34.5,20.22,57.68,5.97,163.79,Apple
95.8,60.2,63.5,25.69,87.97,6.06,209.71,Rice
123.1,87.2,133.8,16.13,83.84,6.19,62.34,Cabbage
88.7,65.3,89.6,27.1,80.91,7.07,117.0,Sugarcane
31.2,77.9,24.9,14.98,75.35,6.57,42.79,Pea
103.6,60.0,88.2,23.97,65.33,6.52,83.29,Maize
81.6,52.4,70.7,27.34,73.64,6.88,97.42,Chili
121.2,79.1,125.8,16.99,87.12,5.75,69.31,Cauliflower
59.7,35.6,30.7,29.49,51.65,5.6,51.91,Millet
104.1,73.7,60.1,25.68,87.04,6.59,208.85,Rice
71.5,68.7,72.8,25.23,72.39,6.65,43.44,Onion
122.7,99.0,382.9,28.6,78.8,5.91,130.53,Banana
28.5,76.8,36.2,12.4,74.83,6.83,43.42,Pea
99.6,63.3,76.4,24.33,67.08,6.74,70.44,Maize
117.2,76.6,138.0,17.37,85.4,6.05,82.94,Cauliflower
64.6,60.3,64.6,23.49,71.66,6.59,54.81,Onion
70.4,53.5,86.1,28.14,65.99,6.86,101.5,Chili
66.9,55.1,64.9,23.81,68.19,6.46,50.76,Tomato
65.4,61.3,66.2,17.93,85.14,5.16,56.61,Potato
27.8,20.2,27.9,28.16,58.64,6.26,105.7,Mango
27.3,80.8,30.4,12.43,76.07,6.32,48.27,Pea
103.1,52.1,81.1,23.51,75.09,6.58,91.34,Maize
71.2,49.8,87.5,31.84,70.3,6.52,102.76,Chili
71.5,66.7,67.6,16.13,71.28,6.58,44.73,Garlic
91.0,49.4,82.8,22.18,71.26,6.54,87.21,Maize
61.7,42.0,51.9,16.44,70.46,7.01,76.86,Wheat
121.2,83.3,392.7,27.57,80.34,6.01,140.84,Banana
102.3,66.7,40.7,32.72,87.15,6.53,199.0,Rice
93.5,68.7,84.4,21.67,73.34,6.3,78.48,Maize
85.2,57.9,71.9,24.82,71.26,6.68,105.37,Chili
51.3,55.5,56.6,17.86,62.15,6.76,57.22,Mustard
71.3,54.5,70.9,26.89,71.43,6.47,62.82,Tomato
135.4,81.7,136.1,17.35,86.17,5.71,72.5,Cauliflower
80.8,70.2,100.1,28.88,82.92,7.39,105.76,Sugarcane
29.8,-8.551869279565615,30.9,22.58,60.8,6.36,128.03,Apple
60.4,71.7,67.7,18.85,70.13,6.36,57.52,Onion
96.1,49.5,85.4,20.43,68.55,6.35,84.42,Maize
105.5,54.3,60.5,26.31,88.7,6.33,250.94,Rice
30.5,75.8,27.9,21.41,66.64,6.95,40.8,Lentil
118.4,76.8,136.9,17.39,82.79,5.75,86.03,Cauliflower
139.2,87.7,121.6,17.56,83.55,6.23,75.31,Cabbage
29.3,76.1,32.7,22.1,64.11,6.47,40.39,Lentil
63.4,71.7,69.9,20.62,83.74,5.1,58.03,Potato
25.1,83.4,30.9,12.07,77.3,6.88,41.75,Pea
92.9,76.0,95.6,32.8,78.9,6.83,110.92,Sugarcane
107.0,50.8,53.7,28.79,88.78,6.38,321.32,Rice
104.7,63.5,83.3,22.5,71.38,6.72,82.62,Maize
58.9,41.6,39.3,18.28,58.54,6.64,60.19,Barley
67.1,70.8,63.1,15.72,68.1,6.5,48.8,Garlic
56.3,63.4,63.6,16.35,67.63,6.46,47.88,Garlic
64.6,52.4,62.6,25.05,70.37,6.34,58.18,Tomato
60.3,53.7,49.7,19.61,63.79,6.47,68.13,Wheat
61.5,62.3,70.5,25.87,68.5,6.28,56.06,Tomato
53.5,29.8,22.1,32.31,45.87,6.2,54.45,Millet
21.9,70.4,28.4,20.96,61.1,7.15,38.21,Lentil
126.3,77.0,129.2,16.88,83.99,6.28,81.15,Cauliflower
25.9,76.6,30.9,14.58,72.89,6.52,50.52,Pea
88.7,59.3,53.4,24.74,87.95,6.6,247.96,Rice
32.1,80.0,30.2,13.92,73.13,6.37,49.11,Pea
68.0,56.6,65.3,20.34,70.52,6.59,49.96,Onion
60.2,57.7,59.6,23.63,66.7,6.57,46.24,Onion
100.6,52.9,40.5,28.59,89.76,5.66,199.76,Rice
34.5,78.9,31.8,21.12,63.95,6.7,43.06,Lentil
66.0,44.5,47.2,15.78,62.27,6.78,73.15,Wheat
63.0,55.1,67.1,23.31,72.08,6.62,58.85,Tomato
30.8,50.8,32.1,24.72,74.51,6.11,61.84,Soybean
29.0,74.4,28.8,17.23,67.24,6.68,42.88,Lentil
,77.2,131.1,16.54,84.22,6.1,79.38,Cauliflower
105.2,67.7,54.5,29.91,88.53,6.46,272.42,Rice
126.2,71.9,127.5,15.84,83.56,6.02,80.97,Cauliflower
126.5,78.8,134.8,17.91,83.77,6.17,73.96,Cauliflower
36.3,84.7,27.0,17.14,65.3,6.75,31.17,Lentil
126.8,74.9,120.6,17.72,84.46,6.44,74.63,Cabbage
50.3,32.0,27.7,29.34,50.07,6.66,55.48,Millet
26.1,12.0,25.3,23.54,67.04,6.57,92.29,Mango
93.9,70.8,57.9,30.54,91.3,6.5,214.21,Rice
69.8,68.1,65.1,16.23,70.02,6.43,44.99,Garlic
30.5,88.0,31.5,12.91,76.36,6.67,50.48,Pea
29.2,18.4,21.5,30.21,61.81,7.03,93.43,Mango
78.0,54.1,205.04373518258075,28.37,69.25,6.52,89.96,Chili
62.7,45.0,48.0,17.59,52.35,6.61,64.83,Wheat
93.0,52.9,66.3,31.78,87.24,6.21,226.75,Rice
35.7,20.3,28.9,30.88,59.47,7.12,99.97,Mango
59.3,44.0,45.0,21.0,62.23,6.57,75.68,Wheat
91.6,68.9,98.7,25.94,82.83,6.87,95.99,Sugarcane
115.7,99.6,438.4,27.67,81.51,6.2,129.68,Banana
29.9,82.6,27.0,16.24,74.72,6.77,45.8,Pea
58.8,42.8,49.6,15.8,59.08,7.04,52.02,Barley
136.6,72.9,137.3,17.83,86.04,6.22,68.46,Cabbage
99.9,61.9,72.1,22.17,72.03,6.09,86.67,Maize
27.5,12.3,30.3,28.06,57.39,6.38,98.89,Mango
30.6,20.0,26.9,25.32,56.29,6.37,109.15,Mango
65.6,67.0,65.7,21.98,88.36,5.09,63.47,Potato
70.9,59.5,61.5,25.57,65.74,6.52,59.51,Tomato
24.7,92.9,22.1,13.4,75.18,6.56,48.38,Pea
120.0,93.7,420.7,28.3,80.92,5.97,132.38,Banana
122.0,84.9,130.0,18.44,82.52,6.04,82.13,Cauliflower
100.2,70.7,87.4,30.24,84.16,,117.27,Sugarcane
50.3,48.7,44.0,16.54,56.86,6.88,54.5,Barley
47.7,40.6,48.6,14.4,59.9,6.49,49.81,Barley
83.8,44.1,76.7,24.15,64.78,5.8,89.76,Maize
67.9,68.3,64.4,18.07,85.79,5.22,58.38,Potato
25.1,17.2,29.3,28.28,64.31,6.56,115.41,Mango
79.5,48.6,77.6,29.79,72.43,6.69,105.1,Chili
58.2,56.6,71.8,25.47,72.7,6.55,68.24,Tomato
54.9,58.6,63.7,15.15,64.12,6.73,50.13,Mustard
121.5,76.7,127.7,17.35,85.53,6.38,72.61,Cabbage
65.1,64.9,70.9,17.95,69.1,6.14,56.87,Onion
29.0,17.0,34.1,31.91,57.05,6.45,98.8,Mango
60.3,39.2,50.7,20.56,56.87,6.8,66.45,Wheat
34.7,40.6,29.6,24.25,66.11,6.45,58.69,Soybean
55.5,72.6,66.1,15.08,70.37,6.36,31.64,Garlic
86.9,51.9,87.0,25.6,70.41,6.64,105.7,Chili
38.0,46.1,28.5,23.04,71.56,6.8,54.18,Soybean
26.5,40.1,28.5,23.74,70.75,6.18,51.27,Soybean
64.5,50.3,70.9,21.87,68.91,6.39,60.11,Tomato
72.7,55.5,63.3,26.82,73.58,6.38,96.77,Chili
59.5,29.9,26.9,31.57,50.84,6.32,42.56,Millet
26.9,40.0,277.6258689249691,24.26,67.15,6.39,57.33,Soybean
60.7,57.0,54.0,17.03,65.72,6.7,61.1,Mustard
25.0,20.5,28.0,21.63,57.05,5.87,113.05,Apple
74.8,60.9,70.9,18.11,70.08,6.39,47.56,Garlic
52.5,38.1,33.1,29.12,54.04,6.43,55.28,Millet
58.3,50.6,60.7,23.79,68.39,6.43,65.77,Tomato
75.9,63.5,74.4,27.86,65.83,6.52,84.33,Chili
132.9,71.9,128.6,16.96,85.37,6.26,73.74,Cabbage
33.3,91.5,31.9,18.58,64.75,6.73,39.64,Lentil
103.1,77.8,96.1,22.62,81.6,7.9,109.62,Sugarcane
32.1,39.9,28.4,24.99,69.86,6.62,48.28,Soybean
68.7,46.4,36.7,18.4,59.59,6.77,65.58,Wheat
211.40013988226096,17.7,29.3,27.69,59.3,6.73,101.12,Mango
110.1,85.2,124.8,17.54,83.36,5.97,80.48,Cauliflower
70.1,57.8,80.5,27.73,71.12,6.44,95.7,Chili
80.9,49.4,80.1,27.83,72.53,6.32,74.6,Chili
56.2,60.5,54.2,16.67,62.41,7.03,59.46,Mustard
60.6,22.3,30.9,29.52,47.49,6.06,28.02,Millet
66.5,63.6,59.7,15.68,68.3,6.32,51.03,Garlic
93.5,55.6,75.0,24.69,73.09,6.39,98.8,Chili
26.0,76.6,31.5,20.07,64.86,7.23,40.55,Lentil
30.6,85.9,32.8,22.15,66.4,6.81,35.69,Lentil
72.5,68.1,61.2,18.44,89.18,5.08,53.58,Potato
82.3,52.2,72.6,29.59,74.14,6.62,96.31,Chili
31.4,85.6,30.4,13.31,74.27,6.81,47.7,Pea
57.6,28.8,33.9,28.51,41.81,6.22,63.73,Millet
53.7,47.6,51.0,19.45,67.09,6.49,60.71,Mustard
130.5,86.0,131.2,17.63,86.28,6.31,1.583532082243746,Cabbage
31.1,15.0,33.9,31.01,61.61,6.95,103.77,Mango
98.0,65.4,76.1,21.38,69.26,6.16,100.17,Maize
61.0,54.6,64.9,21.46,61.69,6.49,43.72,Mustard
30.1,48.1,30.6,27.18,69.75,6.47,56.97,Soybean
100.7,64.8,63.2,28.06,85.52,6.37,272.05,Rice
26.1,50.6,29.8,25.14,69.07,6.63,57.61,Soybean
59.0,57.7,54.1,12.43,63.65,6.59,53.63,Mustard
94.4,57.9,62.2,29.94,86.3,6.2,197.34,Rice
28.0,20.4,32.5,19.68,70.32,6.0,141.89,Apple
69.9,55.9,64.8,24.58,69.3,6.48,62.45,Tomato
27.8,85.7,31.9,12.9,74.42,6.67,52.61,Pea
98.3,66.9,85.3,22.52,66.75,6.53,85.16,Maize
36.7,81.2,29.2,15.85,75.5,6.78,42.5,Pea
70.8,73.8,59.5,16.54,68.4,6.33,46.8,Garlic
107.0,56.4,68.8,27.99,92.69,6.08,268.4,Rice
108.1,70.6,104.3,28.54,83.75,6.89,114.94,Sugarcane
71.8,73.4,64.1,16.49,113.39198025498857,6.23,37.24,Garlic
62.9,47.9,60.5,25.76,73.58,6.43,65.33,Tomato
61.2,62.6,69.1,17.5,71.84,6.45,45.91,Onion
30.6,86.3,32.5,12.92,76.89,6.94,50.38,Pea
35.0,76.6,36.6,21.31,68.0,6.63,39.19,Lentil
107.8,63.6,57.5,29.43,80.38,6.54,181.51,Rice
62.1,63.8,72.4,24.22,68.32,6.26,55.8,Tomato
29.3,71.8,29.9,15.19,76.46,6.65,51.93,Pea
31.8,16.2,34.2,22.43,57.59,6.03,148.56,Apple
102.7,59.8,54.0,28.31,84.55,6.55,213.38,Rice
99.7,59.5,105.4,33.21,79.2,7.26,112.51,Sugarcane
31.3,22.0,31.6,30.33,69.0,6.47,107.8,Mango
24.3,18.1,40.1,20.03,63.83,5.9,146.79,Apple
86.7,73.5,102.2,28.4,85.38,6.59,118.35,Sugarcane
69.1,73.7,67.6,18.78,70.97,6.49,38.26,Onion
69.6,63.2,63.9,19.77,85.55,5.06,59.1,Potato
89.5,68.8,102.5,26.21,81.84,7.12,88.23,Sugarcane
65.5,59.9,66.1,17.14,90.12,5.1,58.26,Potato
32.0,82.0,29.1,18.53,66.16,6.51,46.39,Lentil
67.2,45.9,47.1,20.37,64.26,6.51,69.36,Wheat
34.8,45.8,30.0,27.73,65.23,6.29,49.61,Soybean
61.6,59.5,59.5,20.72,86.94,4.93,61.59,Potato
57.8,32.9,34.5,31.85,46.64,6.12,51.01,Millet
83.9,55.4,83.1,26.66,66.78,6.36,87.16,Chili
57.1,57.0,66.8,26.94,70.6,6.22,53.6,Tomato
64.3,72.8,68.3,18.83,68.41,6.41,46.31,Onion
65.7,40.6,41.4,21.98,64.79,6.69,75.38,Wheat
32.6,76.2,36.6,20.2,62.97,6.69,32.49,Lentil
60.1,65.0,64.6,17.3,68.65,6.87,51.19,Onion
55.2,56.6,44.3,19.22,63.05,6.74,51.7,Mustard
27.5,16.7,29.5,22.17,59.98,5.93,119.66,Apple
59.4,67.2,58.0,26.58,71.44,6.24,59.17,Tomato
96.5,67.0,55.3,23.98,83.61,6.4,192.99,Rice
74.7,61.5,75.1,27.36,64.32,6.69,75.87,Chili
66.3,59.0,62.1,23.93,75.53,6.53,65.27,Tomato
70.7,74.3,57.3,18.41,68.53,6.66,58.2,Onion
27.0,42.7,26.6,23.63,65.71,6.35,59.73,Soybean
62.3,58.7,62.8,19.6,88.17,5.13,57.24,Potato
66.2,69.7,68.0,17.27,68.59,6.42,48.27,Garlic
75.1,60.6,84.7,24.4,64.18,6.31,87.23,Chili
72.8,61.1,68.3,22.39,84.06,5.07,63.81,Potato
58.3,43.8,41.3,13.52,62.76,6.71,54.54,Barley
123.4,98.8,374.0,28.1,81.79,6.05,125.18,Banana
53.6,55.7,57.6,19.52,68.76,6.78,58.68,Mustard
136.2,75.6,118.3,17.06,85.95,6.35,68.8,Cabbage
25.6,43.3,30.1,21.94,74.63,6.52,56.27,Soybean
31.8,18.9,30.6,28.42,60.04,6.11,93.41,Mango
61.0,54.7,61.0,27.6,72.63,6.47,68.24,Tomato
56.1,63.6,61.6,20.0,69.28,6.71,52.68,Mustard
59.5,62.8,59.1,17.77,68.95,6.56,53.86,Onion
63.2,60.5,67.9,22.49,89.31,5.19,58.26,Potato
59.8,65.2,69.8,14.49,70.38,6.4,48.5,Garlic
60.0,60.6,62.2,21.37,71.73,6.58,53.16,Onion
63.5,57.6,71.4,19.9,87.02,5.19,61.41,Potato
101.4,62.1,72.7,21.18,76.0,6.25,98.8,Maize
88.8,58.2,73.6,27.33,72.63,6.31,93.2,Chili
122.4,87.4,136.7,18.1,82.77,6.35,78.62,Cabbage
58.3,40.2,55.7,14.56,65.0,7.13,57.96,Barley
93.3,52.0,97.8,27.19,82.31,6.88,122.59,Sugarcane
32.0,42.9,29.8,25.15,70.36,6.67,57.15,Soybean
116.2,71.8,114.4,17.62,84.99,5.79,73.22,Cauliflower
63.6,53.1,63.8,24.45,70.93,6.17,66.91,Tomato
26.8,78.2,28.4,18.66,68.05,7.29,36.03,Lentil
101.9,48.7,73.5,26.63,68.98,6.55,79.58,Maize
98.1,49.6,65.9,27.31,87.05,7.05,232.47,Rice
49.1,33.0,42.2,17.45,61.43,6.87,58.27,Barley
65.1,71.6,61.8,20.1,67.98,6.65,49.4,Onion
50.3,55.0,55.8,15.68,61.27,,51.23,Mustard
77.7,55.4,96.7,27.58,67.15,6.31,107.53,Chili
131.1,114.4,407.8,28.04,78.49,6.07,148.9,Banana
133.4,92.0,380.8,27.51,75.96,6.02,152.46,Banana
73.0,58.8,74.5,23.72,70.25,6.49,94.99,Chili
65.4,46.0,41.9,19.47,62.05,7.05,73.84,Wheat
60.6,45.8,49.8,18.55,65.48,6.98,54.14,Barley
25.4,80.6,28.0,13.63,78.31,6.44,48.75,Pea
32.1,41.1,26.7,24.16,70.8,6.75,48.18,Soybean
132.2,81.1,122.9,17.04,83.89,5.73,70.44,Cauliflower
121.3,75.4,126.7,16.32,85.51,6.11,72.1,Cauliflower
87.7,57.1,86.9,21.99,67.18,6.59,82.24,Maize
34.9,87.1,25.0,15.15,75.31,7.06,48.84,Pea
25.1,79.5,33.4,16.42,74.6,6.72,49.59,Pea
110.6,64.5,74.6,22.43,69.47,6.47,97.09,Maize
45.3,45.4,46.9,15.6,60.56,7.06,60.13,Barley
53.3,53.2,44.6,16.34,,6.17,53.69,Mustard
60.7,62.6,72.5,19.55,82.83,5.09,59.74,Potato
61.4,65.3,65.6,20.52,89.65,4.97,53.63,Potato
123.5,83.6,119.2,15.63,86.64,6.16,87.52,Cauliflower
31.5,24.1,29.6,19.61,63.52,6.24,151.98,Apple
70.0,40.1,43.4,19.21,61.29,6.86,65.32,Barley
64.6,37.4,43.2,21.48,61.92,6.88,75.41,Wheat
70.9,45.7,45.4,20.92,57.13,6.76,57.06,Wheat
64.9,71.9,71.1,20.5,69.51,6.48,54.34,Onion
116.5,92.2,129.2,17.93,82.23,6.13,77.53,Cauliflower
68.1,74.9,65.6,19.64,86.85,5.11,57.24,Potato
99.7,58.8,65.9,29.13,83.56,6.62,259.5,Rice
74.0,58.1,85.9,26.68,68.56,6.36,104.37,Chili
63.6,46.4,44.8,19.29,58.1,6.83,62.36,Wheat
62.3,64.0,70.3,18.98,89.49,5.1,59.41,Potato
29.9,84.5,20.1,22.2,65.22,6.36,37.92,Lentil
34.3,44.7,30.5,25.79,73.9,6.22,56.95,Soybean
68.8,59.4,72.5,16.6,71.09,6.57,37.47,Garlic
94.6,56.7,66.1,28.32,86.18,6.38,227.43,Rice
107.5,58.2,52.6,33.93,87.65,6.25,224.4,Rice
69.3,69.5,66.6,16.72,71.83,6.42,48.97,Garlic
64.6,46.3,62.7,24.57,68.34,6.41,62.94,Tomato
54.8,62.3,41.0,16.78,66.13,6.29,53.93,Mustard
29.1,91.1,37.3,14.46,75.02,6.66,50.94,Pea
58.5,59.8,63.9,16.48,68.52,6.55,45.68,Garlic
31.4,81.8,27.5,15.29,76.65,6.55,49.72,Pea
130.0,71.8,122.3,18.5,83.01,6.37,69.66,Cabbage
105.6,62.6,83.0,20.13,70.17,6.5,91.07,Maize
59.7,67.2,247.60141019168645,19.78,69.31,6.62,51.15,Onion
64.7,55.8,74.1,27.98,71.15,6.22,92.73,Chili
30.0,23.1,32.3,21.12,56.37,5.76,141.42,Apple
34.7,23.3,27.0,29.15,60.12,6.53,107.64,Mango
61.3,48.8,48.4,23.08,59.41,6.92,75.82,Wheat
135.8,115.8,362.2,28.85,77.65,5.83,129.29,Banana
54.0,55.6,52.2,15.86,65.26,6.69,63.62,Mustard
82.7,56.6,81.7,-4.5976586103101305,66.57,6.39,91.74,Chili
65.7,60.2,65.8,14.83,70.27,6.72,46.3,Garlic
32.5,40.8,34.6,25.24,67.76,6.61,57.98,Soybean
98.5,53.8,99.6,20.89,68.57,6.48,90.0,Maize
32.9,74.9,28.5,12.52,72.56,6.89,49.13,Pea
28.9,75.6,31.7,12.47,75.69,6.89,52.02,Pea
30.1,82.9,30.6,18.68,64.31,7.24,48.63,Lentil
126.4,87.4,114.4,17.1,83.57,6.16,81.63,Cauliflower
27.1,21.2,41.0,21.7,69.12,6.09,131.6,Apple
57.8,28.2,31.8,29.96,47.18,6.06,60.41,Millet
29.4,96.8,30.4,-3.013799334680095,63.09,6.29,39.01,Lentil
114.3,82.1,121.9,17.02,85.05,6.17,69.32,Cabbage
108.3,90.4,123.1,19.31,86.34,6.29,72.07,Cabbage
67.1,63.0,63.8,13.47,70.82,6.26,45.59,Garlic
91.6,57.6,91.5,29.48,72.36,6.41,97.85,Chili
59.1,68.8,62.1,11.93,74.11,6.4,0.3127805801370337,Garlic
108.0,49.8,56.3,28.44,91.41,6.23,211.12,Rice
33.1,79.4,29.8,14.36,77.28,7.02,50.39,Pea
49.9,68.4,69.6,16.27,70.45,6.41,47.5,Garlic
65.7,67.9,69.8,21.32,87.07,5.09,67.83,Potato
74.4,47.8,38.3,20.81,54.84,7.02,71.07,Wheat
60.1,27.4,27.6,32.29,54.52,6.39,42.59,Millet
55.3,49.3,50.6,13.95,61.6,6.99,64.15,Barley
28.1,16.8,31.6,21.91,63.13,6.13,138.22,Apple
69.7,37.0,41.2,18.72,56.87,6.96,73.38,Wheat
64.1,63.8,59.1,18.85,69.31,6.52,47.22,Onion
65.2,62.9,74.5,15.68,73.25,6.42,54.56,Garlic
23.0,78.1,29.6,15.17,78.51,6.85,56.42,Pea
81.2,59.3,74.3,22.77,75.58,6.5,99.91,Chili
136.1,78.7,121.7,15.99,86.16,6.28,71.81,Cauliflower
31.5,20.6,32.1,31.72,59.03,6.21,106.9,Mango
145.2,95.6,420.8,29.29,81.32,5.95,139.11,Banana
28.5,20.5,31.5,19.86,64.12,6.11,160.78,Apple
25.3,-7.516953472319154,29.9,21.78,63.2,6.92,37.58,Lentil
122.5,71.6,130.4,17.9,86.16,6.19,65.08,Cabbage
53.5,31.7,28.2,30.97,53.27,6.42,50.86,Millet
71.5,63.9,70.3,16.1,67.45,6.5,41.91,Garlic
53.6,29.7,26.2,27.55,44.23,6.41,39.96,Millet
70.5,58.1,61.5,15.56,71.19,6.54,55.72,Garlic
63.0,46.6,43.3,19.84,58.24,6.37,77.68,Wheat
29.1,79.0,36.8,13.52,71.78,7.0,51.7,Pea
107.6,57.4,72.7,24.63,69.62,6.44,95.29,Maize
138.9,106.1,369.7,28.02,84.13,5.79,147.04,Banana
63.6,67.2,66.1,19.41,86.4,4.99,63.29,Potato
58.9,39.3,43.7,15.0,64.5,6.63,66.67,Barley
30.5,59.6,29.1,13.37,76.33,6.64,52.08,Pea
100.8,62.6,65.2,20.7,72.96,6.46,83.77,Maize
103.2,91.6,129.6,17.4,83.89,6.01,71.36,Cabbage
56.1,51.4,45.6,19.52,62.84,6.65,63.37,Mustard
113.5,98.1,408.2,27.69,79.1,6.02,133.31,Banana
51.7,51.1,37.1,17.47,66.1,6.84,56.69,Barley
118.1,103.9,434.9,28.01,76.19,6.04,150.15,Banana
115.3,92.9,119.8,18.01,85.27,2.6490997721543263,83.96,Cauliflower
36.2,19.8,26.6,29.25,52.58,6.49,106.84,Mango
60.9,33.6,49.3,18.63,60.95,6.57,62.86,Barley
31.3,80.1,33.1,19.69,64.87,6.66,36.82,Lentil
109.0,65.9,79.6,22.86,69.02,6.67,83.33,Maize
142.0,96.5,365.3,28.39,79.76,5.76,169.75,Banana
62.9,47.7,69.9,25.24,67.25,6.35,71.19,Tomato
95.4,55.6,76.2,23.3,73.45,6.32,92.57,Maize
35.0,18.6,32.0,29.31,55.7,6.74,90.88,Mango
138.5,77.9,116.8,16.93,84.16,5.81,81.45,Cauliflower
52.0,51.1,49.0,24.58,67.37,6.59,63.66,Mustard
34.5,75.9,33.2,22.09,63.78,6.53,36.35,Lentil
101.1,52.7,70.2,21.39,73.97,6.59,87.03,Maize
51.5,29.1,28.1,28.89,45.19,6.19,51.96,Millet
70.5,50.3,47.7,20.6,65.87,6.75,65.15,Wheat
34.6,41.8,31.9,24.82,69.39,6.37,60.55,Soybean
75.2,63.3,60.2,20.64,67.96,6.79,57.02,Onion
53.8,50.5,37.8,17.86,64.86,7.15,62.13,Barley
28.4,59.7,32.4,28.95,74.65,6.54,56.0,Soybean
28.9,38.2,27.7,24.98,70.2,6.82,55.27,Soybean
104.4,65.4,73.4,23.13,67.15,6.42,74.46,Maize
91.4,69.3,93.2,30.26,83.55,7.07,96.61,Sugarcane
72.3,55.4,75.8,26.71,67.35,6.67,90.09,Chili
67.4,60.0,60.9,16.72,68.87,6.41,40.94,Garlic
69.0,40.1,47.4,20.84,63.53,7.44,78.27,Wheat
54.0,44.1,47.6,14.97,59.56,6.3,62.63,Barley
87.3,67.8,100.9,33.83,81.93,6.53,117.53,Sugarcane
63.8,40.8,55.9,19.71,60.41,6.89,75.36,Wheat
91.0,74.6,91.5,30.28,79.67,6.63,121.09,Sugarcane
62.9,63.6,67.3,19.28,70.2,6.25,45.84,Onion
60.4,40.8,44.7,18.81,62.27,7.12,70.17,Wheat
114.2,78.9,142.7,17.08,83.88,6.03,72.66,Cauliflower
33.3,20.2,28.5,29.17,54.18,6.44,105.74,Mango
134.5,79.5,120.7,16.93,85.51,5.94,72.15,Cauliflower
63.0,48.9,52.6,23.27,73.71,6.35,58.87,Tomato
88.7,70.2,58.9,26.43,84.97,5.84,245.58,Rice
65.7,58.4,61.0,24.24,71.16,6.45,63.38,Tomato
100.3,72.4,90.8,25.78,81.65,6.66,113.1,Sugarcane
99.9,67.5,78.8,23.59,71.17,6.47,82.74,Maize
120.5,80.2,122.8,16.26,83.33,6.12,73.1,Cauliflower
92.9,63.2,58.5,29.29,88.68,6.23,203.83,Rice
